#Name,#tic_id,#Per,#Per_err,#Ecc,#Ecc_err,#T0,#T0_err,#a/R*,#a/R*_err,#Rp/R*,#Rp/R*_err,#Teff,#M/H,#logg,#RA,#DEC,#Nos_of_stars,#sum
AU Mic b,TIC 441420236,8.46321,4E-05,0.1,0.17,2458330.39153,0.0007,19.1,1.8,0.0514,0.0013,3700,,,311.2911369,-31.34245,1,2
BD+20 594 b,TIC 26123781,41.6855,0.003,0,,,,55.8,3.3,,,5766,-0.15,4.5,53.6511231,20.5990205,1,0
CoRoT-1 b,TIC 36352297,1.5089557,6.4E-06,0,,2454159.4532,0.0001,4.92,0.08,0.1388,0.0021,5950,-0.3,4.25,102.0798591,-3.1021394,1,2
CoRoT-10 b,TIC 405010127,13.2406,0.0002,0.53,0.04,2454273.3436,0.0012,31.33,2.15,0.1269,0.0038,5075,0.26,4.65,291.0636813,0.7460143,1,0
CoRoT-11 b,TIC 110178537,2.99433,1.1E-05,0,,2454597.679,0.0003,6.89,0.08,0.107,0.0005,6440,-0.03,4.22,280.6872998,5.9376586,1,0
CoRoT-12 b,TIC 280210963,2.828042,1.3E-05,0.07,0.063,2454398.62707,0.00036,,,,,5675,0.16,4.38,100.7656871,-1.2964437,1,2
CoRoT-13 b,TIC 281909674,4.03519,3E-05,0,,2454790.8091,0.0006,10.81,0.32,0.0909,0.0014,5945,0.01,4.46,102.7211432,-5.0864557,1,2
CoRoT-14 b,TIC 282706928,1.51214,0.00013,0,,2454787.6694,0.0053,4.78,0.28,0.0925,0.0019,6035,0.05,4.35,103.4242023,-5.5360385,1,2
CoRoT-16 b,TIC 218299481,5.35227,0.0002,0.33,0.09,2454923.9138,0.0021,11.2,1.21,0.101,0.0046,5650,0.19,4.36,278.5246658,-6.0026026,1,0
CoRoT-17 b,TIC 218299312,3.7681,0.0003,0,,2454923.3093,0.0036,6.23,0.24,,,5740,0,4.4,278.699236,-6.612288,1,0
CoRoT-18 b,TIC 37168957,1.9000693,2.8E-06,0.08,,2455321.72412,0.00018,6.35,0.4,0.1341,0.0019,5440,-0.1,4.4,98.1724172,-0.0316045,1,2
CoRoT-19 b,TIC 42821097,3.89713,2E-05,0.047,0.045,2455257.44102,0.0006,6.7,0.1,0.0786,0.0004,6090,-0.02,4.07,97.0335983,-0.1707293,1,2
CoRoT-2 b,TIC 391958006,1.7429935,1E-06,0.0143,0.0077,2454237.53556,0.0002,,,,,5625,,,291.7770457,1.3836634,2,0
CoRoT-21 b,TIC 280420719,2.72474,0.00014,0,,2454399.0282,0.0009,4.6,0.26,0.067,0.0018,6200,0,3.7,101.0526207,-0.2991544,1,2
CoRoT-22 b,TIC 323094535,9.75598,0.00011,0.077,0.3,2454598.42014,0.00099,17.3,1.3,0.03927,0.0006,5939,0.17,4.36,280.6671392,6.2191669,1,0
CoRoT-23 b,TIC 108155949,3.6313,0.0001,0.16,0.02,2455308.939,0.001,6.85,0.6,0.0671,0.001,5900,0.05,4.3,279.7826586,4.3577516,1,0
CoRoT-25 b,TIC 130038122,4.86069,6E-05,0,,2454576.2156,0.0008,10.2,1.1,0.085,0.026,6040,-0.01,4.31,280.6296561,6.5138223,1,0
CoRoT-26 b,TIC 322388624,4.20474,5E-05,0,,2454573.6299,0.0008,6.28,0.01,0.0718,0.001,5590,0.01,3.99,279.7504991,6.9697828,1,0
CoRoT-27 b,TIC 416136788,3.57532,6E-05,0.065,,2455748.684,0.001,9.48,0.95,0.099,0.002,5900,-0.1,4.4,278.4958319,5.5383811,1,0
CoRoT-28 b,TIC 106352250,5.20851,0.00038,0.047,0.055,2455755.8466,0.0029,7.29,0.16,0.0551,0.0004,5150,0.15,3.6,278.6883216,5.5736911,1,0
CoRoT-29 b,TIC 370736259,2.85057,6E-06,0.082,0.081,2455753.115,0.001,9.22,0.19,0.1028,0.0043,5260,0.2,4.3,278.9020691,6.4795703,1,0
CoRoT-3 b,TIC 392353449,4.2568,5E-06,0,,2454283.1383,0.0003,7.8,0.4,0.0663,0.0009,6740,,4.22,292.0552827,0.1218359,1,0
CoRoT-30 b,TIC 320636129,9.06005,0.00024,0.007,0.031,2455665.5146,0.0012,21,1.4,0.114,0.0032,5650,0.02,4.4,277.6011767,6.8359338,1,0
CoRoT-31 b,TIC 250595183,4.62941,0.00075,0.02,0.16,2455843.9445,0.0044,7.2,2.9,0.0699,0.0076,5700,0,3.85,94.820735,-4.4222978,1,2
CoRoT-4 b,TIC 36440357,9.20205,0.00037,0,0.1,2454141.36416,0.00089,17.36,0.05,0.1047,0.0041,6190,,4.41,102.1946233,-0.6727861,1,2
CoRoT-5 b,TIC 234112540,4.0378962,1.9E-06,0.09,0.09,2454400.19885,0.0002,,,,,6100,-0.25,4.19,101.2772396,0.8152163,1,2
CoRoT-6 b,TIC 130502317,8.886593,4E-06,0.1,,2454595.6144,0.0002,17.94,0.33,0.1169,0.0009,6090,-0.2,4.43,281.0725563,6.6632062,1,0
CoRoT-8 b,TIC 391880567,6.21229,3E-05,0,,2454238.9743,0.0004,17.6,0.4,0.075,0.001,5080,0.3,4.58,291.5885696,1.4262972,1,0
CoRoT-9 b,TIC 130162252,95.272656,6.8E-05,0.133,0.042,2455365.52723,0.00037,89.9,5.9,0.11402,0.00095,5625,-0.01,4.54,280.7866461,6.2040783,2,0
CoRoTID 223977153 b,TIC 220323515,6.71837,1E-05,,,2455901.811,0.002,,,0.054,0.002,5970,0,4.67,100.1951714,9.2573953,1,2
DS Tuc A b,TIC 410214986,8.138268,1.1E-05,0,,2458332.30997,0.00026,20.35,0.29,0.05419,0.00024,5428,0,,354.9154673,-69.196043,2,9
EPIC 201170410.02,TIC 38116202,6.7987,0.0001,0,,2456813.1485,0.0006,,,0.034,0.0007,3648,-0.048,5,170.1408561,-4.8070039,1,1
EPIC 201238110 b,TIC 35019000,28.1656,0.0027,,,2456852.6572,0.0023,,,0.0458,0.0021,,,,179.7058532,-3.3894613,1,0
EPIC 201497682 b,TIC 301610040,2.13174,0.00022,,,2456850.0263,0.0028,,,0.0115,0.0008,,,,168.9366786,0.4880606,1,0
EPIC 201757695.02,TIC 380546118,2.0478,0.0001,0,,2456811.637,0.0008,,,0.0127,0.0002,4520,-0.003,4.66,173.9385102,4.6164303,1,0
EPIC 201841433 b,TIC 380583651,4.1698,0.0001,,,2456811.6359,0.0011,,,0.0152,0.0004,5053,0,4.59,175.206752,6.1348146,1,0
EPIC 206024342 b,TIC 75266189,4.50756,0.00062,,,2456899.1324,0.0026,,,0.0147,0.0012,,,,331.2771441,-14.1218019,1,0
EPIC 206032309 b,TIC 145752628,2.87814,0.00023,,,2456899.132,0.0017,,,0.0405,0.0024,,,,341.2404563,-13.9011223,1,0
EPIC 206042996 b,TIC 12785571,5.29711,0.00074,,,2456899.1227,0.0029,,,0.0294,0.0018,,,,337.5136198,-13.6101475,1,0
EPIC 206215704 b,TIC 38355468,2.25372,0.00047,,,2457010.0005,0.0009,,,0.0225,0.0022,,,,335.0949721,-9.5097112,1,0
EPIC 206317286 b,TIC 250956593,1.58252,0.00017,,,2457011.3327,0.0024,,,0.0133,0.0014,,,,337.6178427,-7.972456,1,0
EPIC 211822797 b,TIC 337632006,21.169861,0.001725,0.06,0.13597,2457165.577,0.002,48.67,2.04,0.03182,0.00102,4148.21,,,130.4102091,17.6399744,1,0
EPIC 211945201 b,TIC 243244680,19.49221,0.000666,,,2457158.82477,0.00086,35.63,6.71,0.0379,0.0025,6069,0.1,4.22,136.5741931,19.4020565,1,0
EPIC 212297394 b,TIC 287331845,2.28943,0.00019,,,2457261.4607,0.002,,,0.0162,0.001,,,,207.2061241,-17.6098985,1,0
EPIC 212424622 b,TIC 297146115,18.0983,0.006,,,2457263.2616,0.009,,,0.0148,0.0013,,,,202.3313765,-14.3594358,1,0
EPIC 212499991 b,TIC 297146957,34.885,0.011,,,2457280.6254,0.0081,,,0.0193,0.0016,,,,202.488752,-12.7347749,1,0
EPIC 212587672 b,TIC 771548,15.2841,0.0037,,,2457273.4906,0.0053,,,0.0108,0.0007,,,,205.4445125,-10.8625468,1,0
EPIC 246851721 b,TIC 411839167,6.180235,1.4E-05,,,2457865.11032,0.0001,9.8,0.17,0.0681,0.0025,6202,0.141,4.16,78.9198197,16.2786991,2,1
EPIC 248847494 b,TIC 392876254,3650,1280,0,,2457967.17,0.01,,,0.042,0.002,4898,-0.23,3.52,159.3890808,11.8427484,1,0
