11UMib	TIC-230061010
14Andb	TIC-333225860
14Herb	TIC-219483057
16CygBb	TIC-27533327
24Boob	TIC-441712711
24Sexb	TIC-1713457
24Sexc	TIC-1713457
2MASSJ01033563-5515561ABb	TIC-206502540
2MASSJ01225093-2439505b	TIC-11614485
2MASSJ02192210-3925225b	TIC-77111651
2MASSJ12073346-3932539b	TIC-102076870
2MASSJ19383260+4603591b	TIC-271164763
2MASSJ22362452+4751425b	TIC-200532605
30AriBb	TIC-22874788
4UMab	TIC-356478817
42Drab	TIC-233721425
51Erib	TIC-298810162
55Cncb	TIC-332064670
55Cncc	TIC-332064670
55Cncd	TIC-332064670
55Cnce	TIC-332064670
55Cncf	TIC-332064670
6Lynb	TIC-444865362
61Virb	TIC-422478973
61Virc	TIC-422478973
61Vird	TIC-422478973
7CMab	TIC-48237215
7CMac	TIC-48237215
70Virb	TIC-95473936
75Cetb	TIC-251095345
8UMib	TIC-257005016
ABPicb	TIC-260351540
AUMicb	TIC-441420236
BD+152375b	TIC-82604982
BD+20274b	TIC-60923874
BD+48738b	TIC-302069358
BD+48740b	TIC-302070274
BD+49828b	TIC-116376059
BD-061339b	TIC-66914642
BD-061339c	TIC-66914642
BD-082823b	TIC-33355302
BD-082823c	TIC-33355302
BD-103166b	TIC-148563075
BD-132130b	TIC-288474555
CHXR73b	TIC-454291479
CTChab	TIC-454259409
CoRoT-20b	TIC-234825296
CoRoT-20c	TIC-234825296
CoRoT-24b	TIC-36105482
CoRoT-24c	TIC-36105482
CoRoT-7b	TIC-280304863
CoRoT-7c	TIC-280304863
DECVnb	TIC-446175401
DENIS-PJ082303.1-491201b	TIC-388682292
DMPP-1b	TIC-66560666
DMPP-1c	TIC-66560666
DMPP-1d	TIC-66560666
DMPP-1e	TIC-66560666
DMPP-3Ab	
DPLeob	TIC-903484062
DSTucAb	TIC-410214986
EPIC201170410.02	TIC-38116202
EPIC246851721b	TIC-411839167
GJ1061b	TIC-79611981
GJ1061c	TIC-79611981
GJ1061d	TIC-79611981
GJ1132b	TIC-101955023
GJ1132c	TIC-101955023
