#
# RESULTS FROM OUR FITS
# ---------------------
#
# Below, you will find the results of our fits. Next to each of the paramerters there are "UE" and "DE" columns which represents the "Upper Errors" and "Down Errors" --- i.e., the upper and lower bands of the 68% credibility bands (1-sigma errors).
# Note there are some planets commented out --- these are planets for which the actual lightcurve SNR is very bad for some reason (probably blended targets).
#
# Planet        Depth   UE      DE      rp/rs   UE      DE      b       UE      DE      q1      UE      DE      q2      UE      DE      u1      UE      DE      u2      UE      DE      a/rs    UE      DE      t0              UE      DE      P               UE              DE              Sectors observed/fitted
WASP-61b	8724	158	160	0.09340	0.00084	0.00086	0.16	0.14	0.10	0.208	0.137	0.088	0.29	0.24	0.17	0.26	0.12	0.13	0.19	0.24	0.22	8.09	0.11	0.24	2459198.73545	0.00033	0.00034	3.8558986	0.0000020	0.0000021	5,32
WASP-130b	9126	477	397	0.0955	0.0025	0.0021	0.40	0.14	0.19	0.45	0.29	0.22	0.18	0.23	0.12	0.25	0.18	0.16	0.43	0.27	0.35	24.15	1.42	1.62	2458607.58558	0.00042	0.00041	11.5509796	0.0000093	0.0000092	11
HATS-13b	20373	962	796	0.1427	0.0033	0.0028	0.24	0.17	0.15	0.36	0.34	0.20	0.26	0.29	0.16	0.31	0.17	0.17	0.29	0.34	0.33	9.76	0.30	0.51	2459083.00912	0.00053	0.00053	3.0440511	0.0000020	0.0000020	1,28
WASP-156b	4511	128	110	0.06716	0.00095	0.00083	0.18	0.15	0.11	0.36	0.20	0.14	0.43	0.24	0.18	0.52	0.14	0.15	0.08	0.28	0.25	12.86	0.23	0.47	2459169.86001	0.00030	0.00028	3.8361632	0.0000018	0.0000018	4,31
NGTS-4b	        1165	119	123	0.0341	0.0017	0.0018	0.35	0.28	0.21	0.23	0.34	0.17	0.37	0.32	0.25	0.31	0.35	0.22	0.10	0.31	0.24	5.69	0.45	1.01	2459227.52707	0.00111	0.00098	1.3373505	0.0000067	0.0000068	32,33
WASP-190b	6094	453	312	0.0781	0.0029	0.0020	0.42	0.17	0.24	0.51	0.26	0.21	0.29	0.23	0.16	0.42	0.20	0.20	0.30	0.30	0.32	9.05	0.68	0.88	2459098.12518	0.00064	0.00065	5.3677530	0.0000034	0.0000034	29
WASP-44b	13775	966	821	0.1174	0.0040	0.0036	0.44	0.14	0.23	0.54	0.28	0.26	0.30	0.26	0.16	0.44	0.21	0.22	0.30	0.30	0.37	8.47	0.67	0.70	2458393.84978	0.00035	0.00036	2.4238039	0.0000070	0.0000070	3
TOI-892b	6406	141	141	0.08004	0.00088	0.00089	0.18	0.16	0.12	0.050	0.053	0.028	0.51	0.30	0.31	0.21	0.12	0.12	-0.00	0.17	0.11	15.77	0.27	0.64	2459208.92591	0.00064	0.00062	10.626562	0.000066	0.000063	33
WASP-82b	5970	67	57	0.07727	0.00043	0.00037	0.136	0.095	0.090	0.173	0.053	0.043	0.42	0.14	0.12	0.348	0.061	0.066	0.07	0.12	0.11	4.419	0.035	0.069	2458449.78954	0.00017	0.00016	2.7057900	0.0000020	0.0000018	5
TOI-540b	2130	267	446	0.0462	0.0028	0.0051	0.775	0.099	0.218	0.78	0.13	0.18	0.56	0.12	0.13	0.96	0.26	0.24	-0.11	0.23	0.22	13.31	4.68	2.43	2459199.92424	0.00030	0.00029	1.23914813	0.00000055	0.00000082	4,5,6,31,32
WASP-22b	10014	227	214	0.1001	0.0011	0.0011	0.27	0.11	0.15	0.232	0.143	0.096	0.19	0.19	0.12	0.19	0.11	0.11	0.30	0.21	0.21	8.28	0.22	0.30	2458422.50014	0.00023	0.00023	3.5326897	0.0000086	0.0000089	4
#K2-182b	        1161	151780	186	0.0341	0.3570	0.0028	0.58	0.77	0.35	0.49	0.31	0.29	0.49	0.30	0.30	0.60	0.49	0.38	0.01	0.40	0.37	12.41	2.77	8.17	2459239.6864	0.0023	0.0027	4.736834	0.000066	0.000070	34
TOI-905b	16784	695	622	0.1296	0.0027	0.0024	0.769	0.030	0.027	0.64	0.23	0.24	0.38	0.30	0.24	0.59	0.38	0.37	0.19	0.41	0.44	11.47	0.42	0.40	2458639.56977	0.00021	0.00021	3.739493	0.000033	0.000034	12
HAT-P-42b	6575	217	195	0.0811	0.0013	0.0012	0.21	0.17	0.13	0.41	0.26	0.18	0.20	0.23	0.13	0.25	0.17	0.15	0.39	0.29	0.31	9.75	0.23	0.48	2459252.87532	0.00052	0.00052	4.6418499	0.0000054	0.0000057	8,34
WASP-62b	12338	32	34	0.11108	0.00015	0.00015	0.228	0.015	0.016	0.190	0.014	0.013	0.347	0.027	0.025	0.302	0.013	0.013	0.134	0.027	0.027	9.719	0.032	0.031	2459252.585697	0.000041	0.000038	4.41193789	0.00000030	0.00000033	1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34
HATS-3b	        9467	208	234	0.0973	0.0011	0.0012	0.360	0.093	0.145	0.172	0.133	0.081	0.26	0.32	0.18	0.22	0.15	0.13	0.20	0.24	0.24	8.01	0.34	0.34	2458337.89608	0.00031	0.00031	3.5478510	0.0000045	0.0000049	1
LTT9779b	1136	78	61	0.03370	0.00114	0.00092	0.34	0.11	0.12	0.888	0.069	0.099	0.720	0.078	0.067	1.35	0.10	0.11	-0.41	0.12	0.13	7.62	0.30	0.36	2459112.22021	0.00017	0.00017	0.79206409	0.00000023	0.00000024	2,29
K2-260b	        8959	311	318	0.0947	0.0016	0.0017	0.19	0.15	0.12	0.20	0.18	0.10	0.33	0.31	0.22	0.29	0.15	0.16	0.14	0.31	0.23	5.11	0.11	0.20	2459186.61999	0.00056	0.00057	2.6266658	0.0000016	0.0000015	32
