These are the systems which have residulas larger than 3-sigma
LTT9779b	0.0337+-0.00114	0.0455+-0.0022
WASP-161b	0.07512+-0.00091	0.0671+-0.0017
HATS-24b	0.1339+-0.0016	0.12801+-0.00017
WASP-121b	0.12166+-0.00028	0.12454+-0.00047
CoRoT-18b	0.1579+-0.0042	0.1341+-0.0019
HATS-6b	0.1668+-0.0029	0.17978+-0.00077
WASP-7b	0.07901+-0.00067	0.0956+-0.0016
WASP-19b	0.1519+-0.0018	0.1409+-0.0013
WASP-101b	0.10888+-0.00095	0.0040333+-0.00014458
WASP-17b	0.1218+-0.0016	0.12929+-0.00077
WASP-92b	0.1068+-0.0015	0.0963+-0.0017
HATS-18b	0.1456+-0.0021	0.132+-0.0004
