These are the systems which have residulas larger than 3-sigma
WASP-22b	1422.500141065102+-0.00022908182911663408	1422.468038964318+-0.008122573287693743
WASP-62b	2252.585697405273+-4.0686171467830585e-05	2252.594333174173+-0.0023514566641147506
K2-260b	2186.619992567459+-0.0005600568454103757	2186.6042806175537+-0.0009417837970114325
WASP-161b	2238.2239016701933+-0.0004416406237779233	2238.365226615686+-0.0019267477930295064
WASP-121b	2253.1289148691576+-3.8496820368872964e-05	2253.1303760618903+-0.00042755653933265855
HAT-P-2b	2006.9377623286564+-0.000330835921599319	2006.9695314406417+-0.0024061612915286896
HAT-P-69b	2237.771698503755+-0.00022945800204997037	2237.765717625618+-0.0007781371839339211
KELT-11b	1553.8138135415502+-0.00032591753185223505	1553.7895694582257+-0.006817723270421474
CoRoT-18b	2226.4092715575825+-0.0006144317790630472	2226.366374858888+-0.005777398598619178
WASP-4b	2112.623446344631+-5.387987403384119e-05	2112.6239448450506+-5.235908201566529e-05
WASP-7b	2043.7130998424254+-0.00020006554410942237	2043.7047230638564+-0.0025373334115829493
WASP-95b	2084.5850621166173+-8.35531367624554e-05	2084.5894704612438+-0.0012850387458756543
K2-237b	1639.8850579636637+-0.00039094682801616424	1639.8949386281893+-0.002611033864235333
WASP-35b	2198.8993930029683+-0.00010278185281486935	2198.9126412258483+-0.002327130091079727
WASP-101b	2226.887908969773+-0.00012910627734320714	2226.8990187386516+-0.0033867882057466354
WASP-17b	1638.332086659735+-0.0002593271313650396	1638.2719836137258+-0.00863707326638257
KELT-20b	1694.7366961673833+-6.485164094016671e-05	1694.7392590087838+-0.0006792876936016901
CoRoTID223977153b	2227.346236053854+-0.007986006915840482	2227.4040658299346+-0.0052634929054823035
WASP-72b	2168.1253915664274+-0.00023055332131000113	2168.104823365109+-0.003803594257293291
WASP-31b	1554.3000514702871+-0.0002602742608312146	1554.321461291518+-0.004886772469583826
WASP-46b	2059.789537694538+-0.0001794077317357098	2059.7791983098723+-0.0024645969197073093
WASP-29b	2109.5757878106087+-0.00015066870149959633	2109.5912000762764+-0.003358508555790736
HATS-18b	1582.9437486939132+-0.0003110112803751708	1582.9368682564236+-0.0008848637062843257
