Title: Empirical limb-darkening coefficients & transit parameters of known
       exoplanets from TESS
Authors: Jayshil A. Patel and Néstor Espinoza
Table: Retrieved planetary parameters along with their literature values. 
       The data of literature planetary parameters was extracted from the NASA
       Exoplanet Archive on February 23, 2021.
================================================================================
Byte-by-byte Description of file: planetary_ascii_mrt.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
  1-  9  A9     ---    name     Name of the planet
 11- 16  F6.4   ---    Rp/R*    [0.02/0.23] Rp/R* retrieved from this work
 18- 23  F6.4   ---    Rp/R*_u  [0.0/0.03] Upper 68% credibility band on Rp/R*
 25- 30  F6.4   ---    Rp/R*_l  [0.0/0.03] Lower 68% credibility band on Rp/R*
 32- 36  F5.2   ---    a/R*     [3.42/39.53] a/R* retrieved from this work
 38- 41  F4.2   ---    a/R*_u   [0.01/4.68] Upper 68% credibility band on a/R*
 43- 46  F4.2   ---    a/R*_l   [0.01/7.84] Lower 68% credibility band on a/R*
 48- 57  F10.5  ---    tc       [332.08/1253.41] Transit time (BJD - 2458000)
                               from this work
 59- 65  F7.5   ---    tcep     [0.0/0.06] Upper 68% credibility band on transit
                               time
 67- 73  F7.5   ---    tcen     [0.0/0.06] Lower 68% credibility band on transit
                               time
 75- 80  F6.4   ---    rprst    [0.0/0.24] Literature value of Rp/R*
 82- 87  F6.4   ---    rprst_ue [0.0/0.1] Upper 68% credibility on Rp/R* from
                               literature
 89- 94  F6.4   ---    rprst_le [0.0/0.1] Lower 68% credibility on Rp/R* from
                               literature
 96-100  F5.2   ---    aste     [3.46/38.68] Literature value of a/R*
102-105  F4.2   ---    aste_ue  [0.0/2.9] Upper 68% credibility band on
                               literature value of a/R*
107-110  F4.2   ---    aste_le  [0.0/2.9] Lower 68% credibility band on
                               literature value of a/R*
112-119  F8.3   ---    tc_lit   [332.08/1253.41] Transit time (BJD - 2458000)
                               predicted from literature
121-125  F5.3   ---    tc_lit_e [0.0/0.19] 1-sigma errors on predicted transit
                               time
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
WASP-61b  0.0934 0.0008 0.0009  8.09 0.11 0.24 1198.73545 0.00033 0.00034 0.0937 0.0031 0.0031  8.15 0.24 0.24 1198.738 0.003
WASP-130b 0.0955 0.0025 0.0021 24.15 1.42 1.62  607.58558 0.00042 0.00041 0.0955 0.0044 0.0044 22.67 0.77 0.77  607.586 0.001
HATS-13b  0.1427 0.0033 0.0028  9.76 0.30 0.51 1083.00912 0.00053 0.00053 0.1402 0.0016 0.0016  9.82 0.18 0.18 1083.006 0.002
WASP-156b 0.0672 0.0009 0.0008 12.86 0.23 0.47 1169.86001 0.00030 0.00028 0.0685 0.0012 0.0012 12.80 0.30 0.30 1169.861 0.004
NGTS-4b   0.0341 0.0017 0.0018  5.69 0.45 1.01 1227.52707 0.00111 0.00098 0.0350 0.0030 0.0030  4.79 1.21 1.21 1227.529 0.010
WASP-190b 0.0781 0.0029 0.0020  9.05 0.68 0.88 1098.12518 0.00064 0.00065 0.0741 0.0075 0.0075  8.95 0.57 0.57 1098.122 0.001
WASP-44b  0.1174 0.0040 0.0036  8.47 0.67 0.70  393.84978 0.00035 0.00036 0.1248 0.0023 0.0023  8.20 0.43 0.43  393.850 0.000
TOI-892b  0.0800 0.0009 0.0009 15.77 0.27 0.64 1208.92591 0.00064 0.00062 0.0790 0.0010 0.0010 14.20 0.80 0.80 1208.922 0.005
WASP-82b  0.0773 0.0004 0.0004  4.42 0.04 0.07  449.78954 0.00017 0.00016 0.0788 0.0037 0.0037  4.43 0.15 0.15  449.794 0.002
TOI-540b  0.0462 0.0028 0.0051 13.31 4.68 2.43 1199.92424 0.00030 0.00029 0.0436 0.0012 0.0012 13.90 0.72 0.72 1199.925 0.001
WASP-22b  0.1001 0.0011 0.0011  8.28 0.22 0.30  422.50014 0.00023 0.00023 0.0978 0.0012 0.0012  8.94 0.85 0.85  422.468 0.008
TOI-905b  0.1296 0.0027 0.0024 11.47 0.42 0.40  639.56977 0.00021 0.00021 0.1312 0.0079 0.0079 10.94 0.50 0.50  639.569 0.000
