Title: Empirical limb-darkening coefficients & transit parameters of known
       exoplanets from TESS
Authors: Jayshil A. Patel and Néstor Espinoza
Table: Retrieved planetary parameters along with their literature values.
================================================================================
Byte-by-byte Description of file: planetary_ascii_updated.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
  1-  9  A9     ---    name    Name of the planet
 11- 19  F9.0   ---    tic     TIC id of the planet
 21- 26  F6.4   ---    Rp/R*   [0.02/0.23] Rp/R* retrieved from this work
 28- 33  F6.4   ---    Rp/R*_u [0.0/0.03] Upper 68% credibility band on Rp/R*
 35- 40  F6.4   ---    Rp/R*_l [0.0/0.03] Lower 68% credibility band on Rp/R*
 42- 46  F5.2   ---    a/R*    [3.42/39.53] a/R* retrieved from this work
 48- 51  F4.2   ---    a/R*_u  [0.01/4.68] Upper 68% credibility band on a/R*
 53- 56  F4.2   ---    a/R*_l  [0.01/7.84] Lower 68% credibility band on a/R*
 58- 70  F13.5  d      tc      [2458332.08/2459253.41] Transit time (in BJD)
                              from this work
 72- 78  F7.5   d      tcep    [0.0/0.06] Upper 68% credibility band on transit
                              time
 80- 86  F7.5   d      tcen    [0.0/0.06] Lower 68% credibility band on transit
                              time
 88- 92  F5.3   ---    b       [0.09/0.94] b retrieved from this work
 94- 98  F5.3   ---    b_u     [0.0/0.33] Upper 68% credibility band on b
100-104  F5.3   ---    b_l     [0.0/0.41] Lower 68% credibility band on b
106-115  F10.7  d      P       [0.46/20.28] period retrieved from this work
117-125  F9.7   d      P_u     [0.0/0.01] Upper 68% credibility band on period
127-135  F9.7   d      P_l     [0.0/0.01] Lower 68% credibility band on period
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
WASP-61b   13021029 0.0934 0.0008 0.0009  8.09 0.11 0.24 2459198.73545 0.00033 0.00034 0.160 0.140 0.100  3.8558986 0.0000020 0.0000021
WASP-130b 243200602 0.0955 0.0025 0.0021 24.15 1.42 1.62 2458607.58558 0.00042 0.00041 0.400 0.140 0.190 11.5509796 0.0000093 0.0000092
HATS-13b  289793076 0.1427 0.0033 0.0028  9.76 0.30 0.51 2459083.00912 0.00053 0.00053 0.240 0.170 0.150  3.0440511 0.0000020 0.0000020
WASP-156b 270380593 0.0672 0.0009 0.0008 12.86 0.23 0.47 2459169.86001 0.00030 0.00028 0.180 0.150 0.110  3.8361632 0.0000018 0.0000018
NGTS-4b   143143769 0.0341 0.0017 0.0018  5.69 0.45 1.01 2459227.52707 0.00111 0.00098 0.350 0.280 0.210  1.3373505 0.0000067 0.0000068
WASP-190b 116156517 0.0781 0.0029 0.0020  9.05 0.68 0.88 2459098.12518 0.00064 0.00065 0.420 0.170 0.240  5.3677530 0.0000034 0.0000034
WASP-44b   12862099 0.1174 0.0040 0.0036  8.47 0.67 0.70 2458393.84978 0.00035 0.00036 0.440 0.140 0.230  2.4238039 0.0000070 0.0000070
TOI-892b   66561343 0.0800 0.0009 0.0009 15.77 0.27 0.64 2459208.92591 0.00064 0.00062 0.180 0.160 0.120 10.6265620 0.0000660 0.0000630
WASP-82b  452808876 0.0773 0.0004 0.0004  4.42 0.04 0.07 2458449.78954 0.00017 0.00016 0.136 0.095 0.090  2.7057900 0.0000020 0.0000018
TOI-540b  200322593 0.0462 0.0028 0.0051 13.31 4.68 2.43 2459199.92424 0.00030 0.00029 0.775 0.099 0.218  1.2391481 0.0000006 0.0000008
WASP-22b  257567854 0.1001 0.0011 0.0011  8.28 0.22 0.30 2458422.50014 0.00023 0.00023 0.270 0.110 0.150  3.5326897 0.0000086 0.0000089
TOI-905b  261867566 0.1296 0.0027 0.0024 11.47 0.42 0.40 2458639.56977 0.00021 0.00021 0.769 0.030 0.027  3.7394930 0.0000330 0.0000340
HAT-P-42b 270468559 0.0811 0.0013 0.0012  9.75 0.23 0.48 2459252.87532 0.00052 0.00052 0.210 0.170 0.130  4.6418499 0.0000054 0.0000057
WASP-62b  149603524 0.1111 0.0001 0.0001  9.72 0.03 0.03 2459252.58570 0.00004 0.00004 0.228 0.015 0.016  4.4119379 0.0000003 0.0000003
HATS-3b   336732616 0.0973 0.0011 0.0012  8.01 0.34 0.34 2458337.89608 0.00031 0.00031 0.360 0.093 0.145  3.5478510 0.0000045 0.0000049
K2-260b   293612446 0.0947 0.0016 0.0017  5.11 0.11 0.20 2459186.61999 0.00056 0.00057 0.190 0.150 0.120  2.6266658 0.0000016 0.0000015
TrES-3b   116264089 0.1706 0.0058 0.0039  5.82 0.12 0.13 2459034.47459 0.00009 0.00009 0.846 0.030 0.025  1.3061858 0.0000003 0.0000003
Qatar-10b 229791084 0.1255 0.0015 0.0015  5.05 0.08 0.12 2459034.37308 0.00021 0.00020 0.220 0.100 0.130  1.6453196 0.0000066 0.0000066
WASP-144b 207077681 0.1128 0.0029 0.0041  7.32 0.73 0.60 2459071.05883 0.00038 0.00037 0.637 0.086 0.131  2.2783153 0.0000013 0.0000013
HD221416b 441462736 0.0278 0.0034 0.0026  9.75 3.68 2.09 2459085.13900 0.05200 0.05700 0.740 0.110 0.410 14.2769000 0.0010000 0.0011000
WASP-182b 369455629 0.0607 0.0020 0.0016 10.57 0.41 0.87 2459045.26482 0.00063 0.00062 0.260 0.210 0.170  3.3769848 0.0000022 0.0000022
HAT-P-5b   76419763 0.1114 0.0027 0.0019  7.80 0.23 0.40 2459021.22014 0.00027 0.00026 0.280 0.160 0.170  2.7884910 0.0000230 0.0000230
WASP-15b  111991770 0.0938 0.0009 0.0012  7.59 0.33 0.28 2458610.70116 0.00026 0.00026 0.500 0.054 0.081  3.7520998 0.0000092 0.0000093
WASP-73b  231670397 0.0580 0.0005 0.0006  5.24 0.23 0.19 2459059.30042 0.00049 0.00048 0.499 0.055 0.080  4.0872977 0.0000038 0.0000036
HD1397b   394137592 0.0452 0.0005 0.0005 10.30 0.09 0.26 2458332.08300 0.00051 0.00053 0.140 0.123 0.088 11.5350800 0.0005000 0.0005300
K2-115b     7020254 0.1229 0.0043 0.0038 39.53 2.44 4.10 2459245.27590 0.00150 0.00150 0.340 0.210 0.220 20.2730170 0.0000600 0.0000590
WASP-161b  50712784 0.0751 0.0009 0.0008  8.90 0.14 0.31 2459238.22390 0.00044 0.00045 0.180 0.150 0.110  5.4060425 0.0000044 0.0000046
HATS-24b  380589029 0.1339 0.0016 0.0022  4.61 0.16 0.16 2458667.45842 0.00021 0.00022 0.349 0.086 0.152  1.3484978 0.0000008 0.0000009
WASP-79b  170634116 0.1072 0.0004 0.0004  7.15 0.05 0.05 2459196.64376 0.00010 0.00010 0.556 0.009 0.010  3.6623907 0.0000007 0.0000006
