Title: Empirical limb-darkening coefficients & transit parameters of 
       known exoplanets from TESS
Authors: Patel J.A., Espinoza N. 
Table: Various stellar properties of our targets. 
================================================================================
Byte-by-byte Description of file: datafile3.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---      Name      Name of the host star                         
  10- 15 F6.1   K        Teff      [3036.0/8720.0] Effective temperature (1)
  17- 22 F6.3   [-]      Fe/H      [-0.35/0.47] Metallicity (1) (2)
  24- 28 F5.3   [cm/s2]  logg      [3.58/5.06] Surface gravity (in log cgs units) (1)
  30-32  A3     ---      vturb     Microturbulent veocity                         
  34-54  A21    ---      temp-ref  Reference bibcode to the effecttive temperature
  56-76  A21    ---      [M/H]-ref Reference bibcode to the metallicity (2)           
  78-98  A21    ---      logg-ref  Reference bibcode to the  surface gravity      
--------------------------------------------------------------------------------
Note (1): The data of literature planetary parameters was extracted from the NASA
    Exoplanet Archive on February 23, 2021.
    (2): "-----" means that the metallicity for the source was not available. In 
    this case, we put "NONE" in the reference column.
--------------------------------------------------------------------------------
WASP-61  6250.0 -0.100 4.260 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
WASP-130 5625.0 0.260  4.490 ... 2017MNRAS.465.3693H   2017MNRAS.465.3693H   2017MNRAS.465.3693H  
HATS-13  5523.0 0.050  4.520 ... 2015A&A...580A..63M   2015A&A...580A..63M   2015A&A...580A..63M  
WASP-156 4910.0 0.240  4.600 ... 2018A&A...610A..63D   2018A&A...610A..63D   2018A&A...610A..63D  
NGTS-4   5143.0 -0.280 4.500 ... 2019MNRAS.486.5094W   2019MNRAS.486.5094W   2019MNRAS.486.5094W  
WASP-190 6400.0 -0.020 4.170 ... 2019AJ....157..141T   2019AJ....157..141T   2019AJ....157..141T  
WASP-44  5420.0 -0.003 4.490 ... 2019PASP..131k5003A   2019PASP..131k5003A   2019PASP..131k5003A  
TOI-892  6261.0 0.240  4.260 ... 2020AJ....160..235B   2020AJ....160..235B   2020AJ....160..235B  
WASP-82  6480.0 0.120  3.960 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
TOI-540  3216.0 -----  4.440 ... 2020arXiv200913623M   NONE                  ExoFOP-TESS          
WASP-22  6000.0 -0.050 4.500 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
TOI-905  5570.0 0.140  4.500 ... 2020AJ....160..229D   2020AJ....160..229D   2020AJ....160..229D  
HAT-P-42 5743.0 0.270  4.140 ... 2013A%26A...558A..86B 2013A%26A...558A..86B 2013A%26A...558A..86B
WASP-62  6230.0 0.040  4.450 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
HATS-3   6351.0 -0.157 4.220 ... 2013AJ....146..113B   2013AJ....146..113B   2013AJ....146..113B  
LTT9779  5443.0 0.270  4.350 ... 2020NatAs.tmp..180J   2020NatAs.tmp..180J   2020NatAs.tmp..180J  
K2-260   6367.0 -0.140 4.150 ... 2018MNRAS.481..596J   2018MNRAS.481..596J   2018MNRAS.481..596J  
TrES-3   5650.0 -0.200 4.570 ... 2009ApJ...691.1145S   2014ApJ...785..126K   2011MNRAS.417.2166S  
Qatar-10 6124.0 0.016  4.300 ... 2019AJ....157..224A   2019AJ....157..224A   2019AJ....157..224A  
WASP-144 5200.0 0.180  4.530 ... 2019MNRAS.482.1379H   2019MNRAS.482.1379H   2019MNRAS.482.1379H  
HD221416 5080.0 -0.080 3.580 ... 2019AJ....157..245H   2019AJ....157..245H   2019AJ....157..245H  
WASP-182 5638.0 0.270  4.220 ... 2019MNRAS.489.2478N   2019MNRAS.489.2478N   2019MNRAS.489.2478N  
HAT-P-5  5960.0 0.240  4.370 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
WASP-15  6300.0 -0.170 4.350 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
WASP-73  6030.0 0.140  3.930 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
HD1397   5521.0 0.290  3.820 ... 2019A&A...623A.100N   2019A&A...623A.100N   2019A&A...623A.100N  
K2-115   5657.0 -0.100 4.530 ... 2018AJ....156..277L   2018AJ....156..277L   2018AJ....156..277L  
WASP-161 6400.0 0.160  4.110 ... 2019AJ....157...43B   2019AJ....157...43B   2019AJ....157...43B  
HATS-24  6125.0 -0.229 4.370 ... 2019RNAAS...3b..35O   2019RNAAS...3b..35O   2019RNAAS...3b..35O  
WASP-79  6600.0 0.030  4.200 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
XO-3     6429.0 -0.180 3.950 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
KELT-8   5754.0 0.270  4.080 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
HATS-42  6060.0 0.220  4.200 ... 2018MNRAS.477.3406B   2018MNRAS.477.3406B   2018MNRAS.477.3406B  
HAT-P-36 5620.0 0.250  4.420 ... 2019AJ....158...39C   2015A&A...579A.136M   2015A&A...579A.136M  
KELT-1   6518.0 0.131  4.250 ... 2012ApJ...761..123S   2019AJ....158..138S   2019AJ....158..138S  
WASP-16  5700.0 0.010  4.490 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
WASP-99  6150.0 0.210  4.300 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
HD2685   6801.0 0.020  4.210 ... 2019A&A...625A..16J   2019A&A...625A..16J   2019A&A...625A..16J  
WASP-121 6459.0 0.130  4.240 ... 2016MNRAS.458.4025D   2016MNRAS.458.4025D   2016MNRAS.458.4025D  
