#Name	Per	Per_err	Tc	Tc_err	a/R*	a/R*_err	Rp/R*	Rp/R*_err	Teff	MH	logg
WASP-61b	3.8559	3E-06	2455859.52908	0.00023	8.15	0.24	0.09368785	0.00306609	6250	-0.1	4.26
WASP-130b	11.55098	1E-05	2456921.14307	0.00025	22.67326599	0.7653092	0.09546639	0.00441293	5625	0.26	4.49
HATS-13b	3.0440499	2.7E-06	2456340.31705	0.00026	9.82	0.18	0.1402	0.0016	5523	0.05	4.52
WASP-156b	3.836169	3E-06	2454677.707	0.002	12.8	0.3	0.0685	0.0012	4910	0.24	4.6
NGTS-4b	1.3373508	8E-06	2457607.9975	0.0034	4.79	1.21	0.035	0.003	5143	-0.28	4.5
WASP-190b	5.367753	4E-06	2457799.1256	0.0007	8.95198495	0.57085837	0.07411878	0.00751883	6400	-0.02	4.17
WASP-44b	2.423804	8E-06	2458338.102384	0.000364	8.2	0.43	0.1248	0.0023	5420	-0.003	4.49
TOI-892b	10.62656	7E-05	2458475.689	0.002	14.2	0.8	0.079	0.001	6261	0.24	4.26
WASP-82b	2.70579	2E-06	2456157.9898	0.0005	4.43	0.15	0.07882781	0.00370681	6480	0.12	3.96
TOI-540b	1.2391491	1.7E-06	2458411.82601	0.00046	13.9	0.72	0.0436	0.0012	3216	0	4.44
WASP-22b	3.53269	1E-05	2455532.72776	0.00022	8.94	0.85	0.0978	0.0012	6000	-0.05	4.5
TOI-905b	3.739494	3.8E-05	2458643.30898	0.0002	10.94418375	0.50433091	0.13120393	0.00794646	5570	0.14	4.5
HAT-P-42b	4.641878	3.2E-05	2455952.52603	0.00075	8.08	0.82	0.086	0.0033	5743	0.27	4.14
WASP-62b	4.41195	3E-06	2455855.39285	0.00027	9.55	0.41	0.1105	0.0003	6230	0.04	4.45
HATS-3b	3.547851	5E-06	2456155.96734	0.00014	7.42	0.12	0.1011	0.0006	6351	-0.157	4.22
LTT9779b	0.792052	9.3E-06	2458354.2143	0.00025	3.877	0.09	0.0455	0.0022	5443	0.27	4.35
K2-260b	2.6266657	1.8E-06	2457820.738135	9E-05	5.291	0.033	0.09731	0.00032	6367	-0.14	4.15
TrES-3b	1.30618581	3.8E-07	2454538.58069	0.00021	5.9453	0.0499	0.166	0.0024	5650	-0.2	4.57
Qatar-10b	1.645321	1E-05	2458247.90746	0.00036	4.9	0.12	0.1265	0.001	6124	0.016	4.3
WASP-144b	2.2783152	1.3E-06	2457157.27493	0.00015	8.39	0.23	0.10793598993709	0.001297045297381	5200	0.18	4.53
HD221416b	14.2767	0.0037	2458357.0149	0.0025	8.97	0.27	0.02854	0.00084	5080	-0.08	3.58
WASP-182b	3.3769848	2.4E-06	2458018.66018	0.00067	8.3	1.9	0.06524920996892	0.001312553736366	5638	0.27	4.22
HAT-P-5b	2.78849	2.5E-05	2455432.4551	0.0001	7.53	0.34	0.1106	0.0006	5960	0.24	4.37
WASP-15b	3.7521	1E-05	2454584.69819	0.00021	7.29	0.38	0.09842	0.00067	6300	-0.17	4.35
WASP-73b	4.08722	0.00022	2456365.7688	0.0011	5.75	0.39	0.057	0.003	6030	0.14	3.93
HD1397b	11.53533	0.00079	2458332.08261	0.0006	10.1	0.24	0.04513	0.0003	5521	0.29	3.82
K2-115b	20.272615	0.000356	2457157.15804	0.00049	38.68	1.91	0.1255	0.0015	5657	-0.1	4.53
WASP-161b	5.4060425	4.8E-06	2457416.5289	0.0011	8.49	0.13	0.0671	0.0017	6400	0.16	4.11
HATS-24b	1.3484978	9E-07	2457948.709321	3.9E-05	4.561	0.027	0.12801	0.00017	6125	-0.229	4.37
WASP-79b	3.66238	5E-06	2456215.4556	0.0005	7.03	0.36	0.10671798	0.00857269	6600	0.03	4.2
XO-3b	3.19154	0.00014	2455292.43266	0.00015	4.95	0.18	0.08825	0.00037	6429	-0.18	3.95
KELT-8b	3.24406	0.00016	2457396.04496	0.00055	5.9	0.38	0.1145	0.0026	5754	0.27	4.08
HATS-42b	2.292102	2.1E-06	2456768.60734	0.00069	5.36	0.39	0.0976	0.004	6060	0.22	4.2
HAT-P-36b	1.32734683	4.8E-07	2456698.73591	0.000149	4.95	0.042	0.1199	0.0002	5620	0.25	4.42
KELT-1b	1.217514	1.5E-05	2455914.1628	0.0023	3.6	0.04	0.07742	0.00056	6518	0.131	4.25
WASP-16b	3.1186	1.4E-05	2454584.42878	0.00035	9.52	0.57	0.1079	0.0012	5700	0.01	4.49
WASP-99b	5.75251	4E-05	2456224.9832	0.0014	8.77	0.47	0.06443754	0.00493289	6150	0.21	4.3
HD2685b	4.12688	5E-05	2458325.78297	0.0002	7.6974	0.0689	0.09467	0.00033	6801	0.02	4.21
WASP-121b	1.2749255	2E-07	2456635.70832	0.00011	3.754	0.023	0.12454	0.00047	6459	0.13	4.24
HAT-P-50b	3.1220109	6.5E-06	2456285.90993	0.00036	5.68	0.19	0.0782	0.0012	6280	-0.18	4.07
TOI-954b	3.6849729	2.7E-06	2458411.90651	0.00084	5.63	0.18	0.0462	0.0019	5710	0.215	3.96
HATS-27b	4.637038	1.4E-05	2457029.3374	0.0011	7.55	0.42	0.0895	0.0043	6438	0.09	4.11
WASP-93b	2.7325321	2E-06	2456079.5642	0.00045	5.938	0.133	0.0873	0.0025	6700	0.07	4.2
HATS-41b	4.193649	1.3E-05	2456795.724	0.0014	7.31	0.98	0.0798	0.0036	6424	0.47	4.14
HATS-29b	4.6058749	6.3E-06	2457031.95618	0.00038	10.96	0.34	0.1201	0.0027	5670	0.16	4.39
HATS-60b	3.560829	3.2E-05	2458015.72358	0.00085	6.93	0.11	0.0811	0.0033	5688	0.335	4.15
HAT-P-2b	5.6335158	3.6E-06	2455288.8491	0.00037	10.28	0.12	0.0678	0.0002	6380	0.18	4.16
WASP-97b	2.07276	1E-06	2456438.18778	0.00018	6.72	0.28	0.1097643	0.00716093	5640	0.23	4.45
HATS-45b	4.1876244	5.6E-06	2456731.19533	0.00073	9.02	0.39	0.1004	0.0042	6450	0.02	4.3
WASP-166b	5.44354	4E-06	2457664.3289	0.0006	11.3	0.6	0.0515	0.0011	6050	0.19	4.34
HATS-63b	3.0566527	4.9E-06	2457659.93755	0.00089	8.09	0.12	0.1159	0.0032	5627	0.081	4.35
HAT-P-31b	5.00542	9.1E-05	2458169.941	0.0017	9.7	1.62	0.08	0.022	6065	0.15	4.26
TOI-1728b	3.49151	6.2E-05	2458843.27427	0.00043	13.48	0.2	0.074	0.002	3980	0.25	4.66
L168-9b	1.4015	0.00018	2458340.04781	0.00088	7.61	0.31	0.0212	0.001	3800	0.04	4.04
HATS-46b	4.7423729	4.9E-06	2457376.68539	0.0006	13.55	0.45	0.1088	0.0027	5495	-0.06	4.54
TOI-481b	10.33111	2E-05	2458511.6418	0.0002	12.56613498	0.1991025	0.0614	0.0002	5735	0.26	4.06
LP714-47b	4.052037	4E-06	2459196.11534	0.000509	15.9	1	0.0751	0.0009	3950	0.41	4.64
XO-7b	2.8641424	4.3E-06	2457917.47503	0.00045	6.43	0.14	0.09532	0.00093	6250	0.432	4.25
HATS-69b	2.2252577	1.9E-06	2457755.3939	0.00052	7.859	0.099	0.1105	0.0023	5137	0.377	4.5
TOI-824b	1.392978	1.8E-05	2458639.60354	0.00035	6.73	0.22	0.0387	0.0018	4600	-0.092	4.61
HATS-14b	2.7667641	2.7E-06	2456408.76462	0.00021	8.8	0.12	0.1145	0.0012	5346	0.33	4.48
HAT-P-69b	4.7869491	1.8E-06	2458495.78861	0.00072	7.32	0.16	0.08703	0.00075	7394	-0.069	4.11
HATS-7b	3.185315	5.4E-06	2456528.29697	0.00058	10.59	0.51	0.0711	0.0019	4985	0.25	4.54
WASP-6b	3.36101	2.8E-06	2455278.71626	8.5E-05	10.62	0.41	0.1463	0.0012	5450	-0.2	4.6
WASP-66b	4.08605	7E-06	2455929.09697	0.00035	6.73	0.37	0.08185136	0.00677192	6600	-0.31	4.3
WASP-25b	3.76483	5E-06	2455888.66484	0.00013	11.1	0.52	0.1387	0.001	5750	-0.05	4.5
WASP-43b	0.813475	1E-06	2455528.86774	0.00014	4.837	0.021	0.15942	0.00041	4400	-0.01	4.49
GJ1252b	0.5182349	6.3E-06	2458668.09739	0.00032	5.04986153	0.49382441	0.02802	0.0009	3458	0.1	4.89
KELT-12b	5.031623	3.2E-05	2457083.660459	0.000894	6.08	0.4	0.0772	0.0019	6279	0.19	3.89
TOI-122b	5.07803	1.5E-05	2458425.602564	0.00063	25.2	1.5	0.075	0.003	3403	0	4.88
HATS-57b	2.350621	1.3E-06	2457778.49589	0.00025	7.82	0.12	0.1218	0.0023	5587	0.268	4.48
HATS-4b	2.516729	2E-06	2455808.34095	0.00036	8.43	0.17	0.1132	0.0029	5403	0.43	4.51
HD332231b	18.71204	0.00043	2458729.67987	0.00038	24.21	0.62	0.06976	0.00041	6089	0.036	4.28
CoRoT-19b	3.89713	2E-05	2455257.44102	0.0006	6.7	0.1	0.0786	0.0004	6090	-0.02	4.07
HATS-17b	16.254611	7.3E-05	2457139.1672	0.0014	25.8	1.1	0.0726	0.0026	5846	0.3	4.42
HATS-71b	3.7955202	1E-06	2457858.80134	0.00023	16.84	0.15	0.2202	0.0024	3405	0.17	4.77
WASP-5b	1.6284279	2.2E-06	2454373.99598	0.00025	5.37	0.15	0.1108	0.0011	5700	0.09	4.39
HATS-32b	2.8126548	5.5E-06	2456454.6252	0.0011	7.88	0.46	0.1171	0.0039	5700	0.39	4.4
KELT-11b	4.7361	3E-05	2457483.431	0.0007	4.98	0.05	0.0514	0.0032	5375	0.17	3.7
CoRoT-13b	4.03519	3E-05	2454790.8091	0.0006	10.81	0.32	0.0909	0.0014	5945	0.01	4.46
HATS-5b	4.763387	1E-05	2456273.79068	0.0001	13.38	0.34	0.1076	0.0004	5304	0.19	4.53
NGTS-1b	2.647298	2E-05	2457720.659396	0.00062	12.2	0.7	0.239	0.1	3916	0	4.71
WASP-153b	3.332609	2E-06	2453142.542	0.003	6	0.3	0.092	0.001	5914	0.34	4.1
HATS-16b	2.686502	1.1E-05	2456824.79069	0.00076	6.5	0.7	0.1075	0.0037	5738	-0.1	4.24
CoRoT-18b	1.9000693	2.8E-06	2455321.72412	0.00018	6.35	0.4	0.1341	0.0019	5440	-0.1	4.4
WASP-135b	1.4013794	8E-07	2455230.9902	0.0009	5.46170066	0.30709174	0.13941255	0.01223369	5675	0.02	4.47
HATS-39b	4.5776348	7.3E-06	2457315.28338	0.00055	7.97	0.38	0.0993	0.0029	6572	0	4.16
HATS-70b	1.8882378	1.5E-06	2456911.87486	0.0008	4.17	0.16	0.074	0.0028	7930	0.041	4.17
WASP-4b	1.33823147	2E-08	2455804.515752	1.9E-05	5.451	0.023	0.15201	0.0004	5400	-0.07	4.47
TOI-837b	8.3248762	1.57E-05	2458574.272527	0.000593	17.26	0.6	0.08	0.01	6047	-0.069	4.47
HATS-33b	2.5495551	6.1E-06	2456497.23181	0.0005	7.83	0.32	0.1237	0.008	5659	0.29	4.45
CoRoT-12b	2.828042	1.3E-05	2454398.62707	0.00036	8.0972	0.2362	0.1314	0.0015	5675	0.16	4.38
HATS-55b	4.2042001	3.3E-06	2457413.13042	0.00051	10.33	0.086	0.1141	0.002	6214	0.108	4.41
WASP-159b	3.840401	7E-06	2457668.0849	0.0009	5.44	0.15	0.067315277460443	0.001346660132818	6120	0.22	3.94
TOI-169b	2.2554477	6.3E-06	2458327.44174	0.00065	5.88	0.15	0.0866	0.0056	5880	0.24	4.28
WASP-150b	5.644207	3E-06	2457217.2614	0.0004	9.04027367	0.1930999	0.06661503	0.00189284	6218	0.156	4.15
WASP-119b	2.49979	1E-05	2456537.547	0.002	6.329	0.664	0.1103	0.001	5650	0.14	4.26
WASP-48b	2.14363	3E-06	2455364.55217	0.0002	4.25	0.18	0.09584	0.00077	5920	-0.12	4.03
HATS-6b	3.3252725	2.1E-06	2456643.74058	8.4E-05	13.65	0.15	0.17978	0.00077	3724	0.2	4.68
HAT-P-21b	4.12448	7E-06	2454996.41389	0.00069	9.65	0.74	0.095	0.0022	5588	0.01	4.33
WASP-7b	4.9546416	3.5E-06	2455446.63493	0.0003	9.074	0.532	0.0956	0.0016	6400	0	4.23
WASP-136b	5.215357	6E-06	2456776.90615	0.00109	6.49134717	0.67120224	0.06480797	0.00992906	6260	-0.18	3.9
HD219666b	6.03607	0.00064	2458329.1996	0.0012	13.27	0.39	0.04192	0.00083	5527	0.04	4.4
LHS3844b	0.46292913	1.9E-06	2458325.72558	0.00025	7.109	0.029	0.0635	0.0009	3036	0	5.06
WASP-42b	4.9816819	1.1E-06	2455650.56728	0.00015	13.5	0.32	0.1293	0.0008	5315	0.29	4.51
WASP-113b	4.54216875	4.2E-06	2457197.097459	4E-05	7.90397856	0.52561897	0.09056388	0.0097061	5890	0.1	4.2
KELT-7b	2.73477	4E-06	2456355.2293	0.0001	5.5	0.17	0.0922	0.0004	6768	0	4.5
WASP-141b	3.310651	5E-06	2457019.5953	0.0003	7.37704874	0.39120635	0.09100095	0.00763579	5900	0.29	4.26
KPS-1b	1.706291	5.9E-05	2457508.37019	0.00079	6.4381774	0.65509258	0.1143	0.0037	5165	0.22	4.47
HATS-47b	3.9228038	2.2E-06	2457365.35804	0.00029	13.98	0.15	0.1746	0.0014	4512	-0.113	4.63
LHS1815b	3.81433	3E-05	2458327.4161	0.0016	17.403	2.816	0.0199	0.0009	3643	-0.12	4.77
WASP-95b	2.18467	1E-06	2456338.45927	0.00024	6.51	0.39	0.11044785	0.00811518	5830	0.14	4.36
TOI-132b	2.1097019	1.2E-05	2458333.23095	0.00094	6.362	0.413	0.03484444	0.00158968	5397	0.16	4.48
K2-237b	2.1805577	5.7E-06	2457656.463379	5E-06	5.503	0.015	0.1195	0.0015	6099	0	4.27
XO-6b	3.7650007	8.1E-06	2456652.71245	0.00055	9.08	0.17	0.11	0.006	6720	-0.07	4.04
WASP-35b	3.16158	2E-06	2455531.47984	0.00015	8.53	0.21	0.124088468481676	0.00080991475138	5990	-0.15	4.4
HATS-68b	3.5862202	4.7E-06	2457410.4086	0.0011	6.232	0.086	0.0725	0.0016	6147	0.21	4.08
HAT-P-55b	3.5852467	6.4E-06	2456730.83468	0.00027	9.79	0.34	0.1202	0.0019	5808	-0.03	4.43
KELT-24b	5.5514926	8.1E-06	2458540.47759	0.00036	9.95	0.17	0.08677	0.00071	6509	0.186	4.25
WASP-124b	3.37265	1E-06	2457028.5834	0.0001	9.434	1.93	0.12491226	0.00388739	6050	-0.02	4.44
HATS-28b	3.1810781	3.9E-06	2457034.283	0.00046	9.63	0.42	0.1331	0.0029	5498	0.01	4.48
WASP-142b	2.052868	2E-06	2457007.7779	0.0004	4.56399078	0.24507838	0.09599897	0.00691998	6010	0.26	4.13
WASP-13b	4.35301	3E-06	2455305.62823	0.00025	7.35	0.26	0.0918	0.0127	5950	0	4.06
HAT-P-70b	2.74432452	7.9E-07	2458439.57519	0.00045	5.45	0.29	0.09887	0.00133	8450	-0.059	4.18
WASP-50b	1.9551	5E-06	2455558.61197	0.00021	7.51	0.1	0.139	0.0006	5400	0.12	4.54
HAT-P-9b	3.92281072	1.02E-06	2455484.913088	0.000386	8.5	0.34	0.10696	0.00086	6350	0.12	4.29
WASP-19b	0.78883899	4E-08	2455708.534626	1.9E-05	3.46	0.08	0.1409	0.0013	5568	0.15	4.45
